Date,Close,High,Low,Open,Volume
,^HSI,^HSI,^HSI,^HSI,^HSI
2015-11-11,22352.169921875,22479.4609375,22324.41015625,22394.150390625,1419300000
2015-11-12,22888.919921875,22980.970703125,22454.9609375,22477.599609375,1844300000
2015-11-13,22396.140625,22519.330078125,22318.619140625,22494.08984375,2002500000
2015-11-16,22010.8203125,22127.380859375,21958.279296875,21958.279296875,1816400000
2015-11-17,22264.25,22497.330078125,22243.9609375,22315.1796875,1627700000
2015-11-18,22188.259765625,22349.73046875,22163.279296875,22331.76953125,1211500000
2015-11-19,22500.220703125,22559.060546875,22416.0,22423.880859375,1381500000
2015-11-20,22754.720703125,22790.0703125,22412.029296875,22510.44921875,1230900000
2015-11-23,22665.900390625,22802.7109375,22619.6796875,22760.05078125,1076000000
2015-11-24,22587.630859375,22629.75,22433.509765625,22593.08984375,1194800000
2015-11-25,22498.0,22617.2109375,22436.009765625,22533.529296875,1513200000
2015-11-26,22488.939453125,22787.5,22453.689453125,22749.599609375,1128400000
2015-11-27,22068.3203125,22555.419921875,22051.009765625,22555.419921875,2108000000
2015-11-30,21996.419921875,22195.25,21907.349609375,21974.810546875,2928400000
2015-12-01,22381.349609375,22477.509765625,22143.5703125,22197.810546875,1984300000
2015-12-02,22479.689453125,22563.470703125,22368.66015625,22471.349609375,1671100000
2015-12-03,22417.009765625,22485.25,22327.0390625,22327.0390625,1271100000
2015-12-04,22235.890625,22242.490234375,22108.4609375,22142.109375,1607900000
2015-12-07,22203.220703125,22352.25,22200.55078125,22336.3203125,1290300000
2015-12-08,21905.130859375,22058.55078125,21765.619140625,22058.55078125,1812300000
2015-12-09,21803.759765625,21872.330078125,21755.689453125,21773.76953125,1365900000
2015-12-10,21704.609375,21880.189453125,21668.119140625,21714.23046875,1589400000
2015-12-11,21464.05078125,21731.390625,21440.69921875,21719.169921875,1399100000
2015-12-14,21309.849609375,21378.189453125,21010.259765625,21063.279296875,1716000000
2015-12-15,21274.369140625,21442.2109375,21215.5390625,21215.5390625,1575300000
2015-12-16,21701.2109375,21772.7890625,21557.73046875,21557.73046875,1645600000
2015-12-17,21872.060546875,22005.189453125,21763.759765625,21841.08984375,1605000000
2015-12-18,21755.560546875,21956.490234375,21625.8203125,21656.560546875,1774200000
2015-12-21,21791.6796875,21871.220703125,21641.169921875,21641.169921875,1302800000
2015-12-22,21830.01953125,21870.310546875,21750.740234375,21846.900390625,916700000
2015-12-23,22040.58984375,22103.630859375,21846.48046875,21869.400390625,1053100000
2015-12-24,22138.130859375,22217.44921875,22128.720703125,22207.8203125,712800000
2015-12-28,21919.619140625,22151.73046875,21880.509765625,22151.73046875,874100000
2015-12-29,21999.619140625,22024.279296875,21881.7109375,21923.26953125,766800000
2015-12-30,21882.150390625,22114.560546875,21868.029296875,22094.58984375,1058900000
2015-12-31,21914.400390625,21970.330078125,21864.119140625,21892.25,510200000
2016-01-04,21327.119140625,21794.83984375,21227.609375,21782.619140625,1712100000
2016-01-05,21188.720703125,21452.740234375,21095.900390625,21318.689453125,1484700000
2016-01-06,20980.810546875,21199.619140625,20947.30078125,21142.630859375,1651100000
2016-01-07,20333.33984375,20826.439453125,20323.970703125,20772.599609375,2982000000
2016-01-08,20453.7109375,20596.419921875,20324.619140625,20491.880859375,2078100000
2016-01-11,19888.5,20068.779296875,19865.1796875,19997.419921875,2127800000
2016-01-12,19711.759765625,20130.80078125,19694.990234375,20030.029296875,1834400000
2016-01-13,19934.880859375,20234.779296875,19850.73046875,20028.859375,1787100000
2016-01-14,19817.41015625,19893.880859375,19509.080078125,19578.919921875,1783200000
2016-01-15,19520.76953125,19828.9296875,19500.380859375,19781.4609375,1932600000
2016-01-18,19237.44921875,19439.490234375,19195.560546875,19287.380859375,2038600000
2016-01-19,19635.810546875,19647.75,19204.220703125,19283.5703125,1825400000
2016-01-20,18886.30078125,19332.220703125,18833.880859375,19332.220703125,2459500000
