Date,Close,High,Low,Open,Volume,sentiment_score,Sentiment_MA7,Sentiment_Momentum,Return_1D,Volatility_10D,Return,Target
2015-05-29,27424.189453125,27604.26953125,27255.890625,27398.279296875,3050200000.0,0.0,-0.010687306523323075,0.010687306523323075,-0.0010971353186440824,0.012450804538143033,-0.0010971353186440824,1
2015-06-01,27597.16015625,27766.3203125,27241.94921875,27373.060546875,1972900000.0,0.5120114050805569,0.06245717991675648,0.4495542251638004,0.006307231191669427,0.01078593069136538,0.006307231191669427,0
2015-06-02,27466.720703125,27602.880859375,27348.130859375,27473.44921875,1502000000.0,0.1475303955376148,0.04905045218765735,0.09847994334995744,-0.004726553470954076,0.010564980952730868,-0.004726553470954076,1
2015-06-03,27657.470703125,27767.23046875,27508.83984375,27716.33984375,1735700000.0,-0.8473113998770714,0.05225983288671289,-0.8995712327637843,0.006944767890631365,0.010752823931254115,0.006944767890631365,0
2015-06-04,27551.890625,27854.740234375,27094.5,27645.359375,3066100000.0,-0.9077893309295176,-0.11190685576626229,-0.7958824751632554,-0.0038174162510482557,0.010748900814229795,-0.0038174162510482557,0
2015-06-05,27260.16015625,27646.720703125,27211.359375,27538.060546875,2228900000.0,-0.8697770647704601,-0.2361607221620423,-0.6336163426084178,-0.010588401090896093,0.011249118741122208,-0.010588401090896093,1
2015-06-08,27316.279296875,27428.58984375,27060.240234375,27147.240234375,2391700000.0,0.5120114050805569,-0.20761779855404577,0.7196292036346026,0.0020586504372437364,0.009446122599089543,0.0020586504372437364,0
2015-06-09,26989.51953125,27322.140625,26971.5703125,27295.880859375,2384100000.0,-0.8585442323237658,-0.3302669746002981,-0.5282772577234677,-0.011962089055897906,0.008916371036883843,-0.011962089055897906,0
2015-06-10,26687.640625,27116.919921875,26573.9609375,27052.7890625,1977400000.0,0.3122109398245811,-0.3588098982082946,0.6710208380328757,-0.011185041878958524,0.009159946380005949,-0.011185041878958524,1
2015-06-11,26907.849609375,26991.509765625,26839.4296875,26938.150390625,1670600000.0,0.0,-0.3798856689993824,0.3798856689993824,0.008251347036227541,0.007742375407603351,0.008251347036227541,1
2015-06-12,27280.5390625,27356.509765625,26987.51953125,27082.599609375,1734200000.0,0.3122109398245811,-0.21423962047057493,0.526450560295156,0.013850584812067357,0.009231754935831836,0.013850584812067357,0
2015-06-15,26861.810546875,27131.359375,26841.51953125,27095.1796875,1324700000.0,0.5120114050805569,-0.011410943897707122,0.523422348978264,-0.015348982462028649,0.009971396968739778,-0.015348982462028649,0
2015-06-16,26566.69921875,26892.880859375,26553.0390625,26807.669921875,1761900000.0,-0.8473113998770714,-0.008201563198651587,-0.8391098366784198,-0.01098627836757382,0.010306917322104677,-0.01098627836757382,1
2015-06-17,26753.7890625,26880.7890625,26555.9609375,26671.19921875,1819400000.0,0.0,-0.08134604963873114,0.08134604963873114,0.007042269053054051,0.010317703110275786,0.007042269053054051,0
2015-06-18,26694.66015625,26873.669921875,26595.9609375,26786.529296875,1470000000.0,0.5120114050805569,0.11444761284760066,0.39756379223295624,-0.002210113345510356,0.010320721460845015,-0.002210113345510356,1
2015-06-19,26760.529296875,27011.94921875,26701.720703125,26885.73046875,2497600000.0,0.0,0.06984605001551765,-0.06984605001551765,0.0024675024982319105,0.010092542405818734,0.0024675024982319105,1
2015-06-22,27080.849609375,27166.51953125,26811.66015625,26854.3203125,1429200000.0,0.1705440394580364,0.09420948422380857,0.07633455523422783,0.011969879554564855,0.010962946545709217,0.011969879554564855,1
2015-06-23,27333.4609375,27406.41015625,27008.509765625,27126.470703125,2138100000.0,0.3122109398245811,0.09420948422380857,0.21800145560077253,0.00932804294432299,0.010618673969715999,0.00932804294432299,1
2015-06-24,27404.970703125,27470.5,27292.849609375,27397.369140625,1659100000.0,0.1705440394580364,0.04542843199201992,0.12511560746601647,0.002616198723919938,0.00966735717294475,0.002616198723919938,0
2015-06-25,27145.75,27350.490234375,27120.720703125,27329.169921875,1908100000.0,0.0,0.16647291768874442,-0.16647291768874442,-0.009458893641343669,0.010147286912196588,-0.009458893641343669,0
2015-06-26,26663.869140625,27016.08984375,26522.44921875,27016.08984375,2473400000.0,0.0,0.16647291768874442,-0.16647291768874442,-0.017751613397124832,0.01058673106520048,-0.017751613397124832,0
2015-06-29,25966.98046875,26631.509765625,25617.779296875,26560.130859375,3023200000.0,-0.1978889629244804,0.06505857940231051,-0.2629475423267909,-0.026136067057620727,0.012456132275302791,-0.026136067057620727,1
2015-06-30,26250.029296875,26470.439453125,25885.66015625,25944.029296875,2480800000.0,0.070534816943109,0.07513498182275466,-0.004600164879645666,0.010900336620410567,0.01287368804922713,0.010900336620410567,1
2015-07-02,26282.3203125,26459.4296875,26135.619140625,26459.4296875,2185400000.0,-0.9077893309295176,-0.0789126425183245,-0.8288766884111931,0.0012301325556556275,0.012592198906234494,0.0012301325556556275,0
2015-07-03,26064.109375,26402.849609375,25933.119140625,26349.83984375,1888900000.0,0.1705440394580364,-0.09915077114211658,0.269694810600153,-0.008302575073488416,0.01276557390676421,-0.008302575073488416,0
2015-07-06,25236.279296875,26261.529296875,24750.310546875,26083.990234375,3514100000.0,-0.3383836802095175,-0.1718547310946243,-0.1665289491148932,-0.03176130310898073,0.015612597575529802,-0.03176130310898073,0
2015-07-07,24975.310546875,25439.33984375,24819.259765625,25391.759765625,3020400000.0,0.3122109398245811,-0.12725316826254127,0.43946410808712233,-0.010341015287159028,0.014343729031930734,-0.010341015287159028,0
2015-07-08,23516.560546875,24411.30078125,22836.8203125,24411.30078125,5441400000.0,0.0165528822690248,-0.12488847079553773,0.14144135306456254,-0.05840768214922254,0.020105064559365764,-0.05840768214922254,1
2015-07-09,24392.7890625,24695.75,23332.900390625,23435.5,4266900000.0,-0.4266120912507176,-0.1575632034135716,-0.269048887837146,0.03726006249419145,0.025648821085422366,0.03726006249419145,1
2015-07-10,24901.279296875,25015.169921875,24567.919921875,24567.919921875,3230900000.0,0.1705440394580364,-0.14327617162572484,0.31382021108376124,0.02084592430460197,0.02760331781133346,0.02084592430460197,1
2015-07-13,25224.009765625,25275.759765625,24596.439453125,24709.580078125,2124800000.0,-0.1978889629244804,-0.04186183333929095,-0.15602712958518947,0.012960397130700851,0.02813172105099521,0.012960397130700851,0
2015-07-14,25120.91015625,25250.94921875,24906.470703125,25184.060546875,2129800000.0,-0.4266120912507176,-0.1271698520119701,-0.29944223923874747,-0.004087360032483889,0.02715337821323904,-0.004087360032483889,0
2015-07-15,25055.759765625,25219.44921875,24862.650390625,25219.44921875,1603500000.0,-0.8887831978499889,-0.20579835453203743,-0.6829848433179515,-0.0025934725382069646,0.02671930734063338,-0.0025934725382069646,1
2015-07-16,25162.779296875,25170.349609375,24841.140625,24976.080078125,1386200000.0,0.0,-0.25039991736412043,0.25039991736412043,0.004271254683596792,0.02680665633673241,0.004271254683596792,1
2015-07-17,25415.26953125,25517.44921875,25183.859375,25246.640625,1279500000.0,0.0,-0.252764614831124,0.252764614831124,0.010034274489160167,0.02710630796459831,0.010034274489160167,0
2015-07-20,25404.810546875,25540.310546875,25298.9609375,25540.310546875,1088200000.0,0.3122109398245811,-0.14721846753465276,0.4594294073592339,-0.000411523645741374,0.025039256198234987,-0.000411523645741374,1
2015-07-21,25536.4296875,25634.3203125,25342.689453125,25428.880859375,1125400000.0,0.0,-0.17158190174294366,0.17158190174294366,0.005180874715918327,0.024740663170335308,0.005180874715918327,0
2015-07-22,25282.619140625,25401.7890625,25177.599609375,25401.7890625,1298900000.0,0.0,-0.14331204989658933,0.14331204989658933,-0.009939155550755752,0.013818101768195897,-0.009939155550755752,1
2015-07-23,25398.849609375,25500.990234375,25250.359375,25308.55078125,1130600000.0,-0.1788828298449516,-0.10792215541005132,-0.07096067443490028,0.004597247939523763,0.008974521190968338,0.004597247939523763,0
2015-07-24,25128.509765625,25279.94921875,25073.19921875,25279.94921875,1134600000.0,0.1705440394580364,0.04341030706252373,0.12713373239551268,-0.010643783002290519,0.007900631929924674,-0.010643783002290519,0
2015-07-27,24351.9609375,24908.580078125,24282.2109375,24906.779296875,2317700000.0,-0.8697770647704601,-0.08084355933325628,-0.7889335054372039,-0.030903099123979594,0.011731240998110046,-0.030903099123979594,1
